"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@aniesbaswedan @JktMajuBersama @Gerindra @PKSejahtera @PartaiPerindo @sandiuno @Official_PAN Bukan cuman Ngeles, BO… https://t.co/inJrHTEVin",FALSE,0,"aniesbaswedan",2017-04-04 08:39:12,TRUE,"848481768579584000","849179534729424896","110312278","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","siregar_bernat",0,FALSE,FALSE,NA,NA
"Majelis Pelayan Jakarta (MPJ) merekomendasi Sandiaga sbg Cagub Muslim yang harus dimenangkan. Jakarta Bersyariah su… https://t.co/GW6jz9Dgw1",FALSE,0,NA,2017-04-04 08:39:10,TRUE,NA,"849179524264742912",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TolakBigotRI",0,FALSE,FALSE,NA,NA
"RT @zuhairimisrawi: Anies harus berani menegaskan kepada publik: apakah ia ingin menegakkah Jakarta Bersyariah atau Jakarta Berpancasila?",FALSE,0,NA,2017-04-04 08:38:07,FALSE,NA,"849179259180429312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AJoG_Wibowo",66,TRUE,FALSE,NA,NA
"RT @kangmeirza: Soal Spanduk ""Jakarta Bersyariah"", Anies Sebut Fitnahnya Sistematis. Kok beda sama pendukungnya @aniesbaswedan dilapangan y…",FALSE,0,NA,2017-04-04 08:37:37,FALSE,NA,"849179136933244928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MFatavit",39,TRUE,FALSE,NA,NA
"RT @kangdede78: Arbi Sanit: Tim Anies-Sandi Harus Buktikan Bukan Pemasang Spanduk Jakarta Bersyariah #FreeAhok  https://t.co/bilKbmA0cN",FALSE,0,NA,2017-04-04 08:35:40,FALSE,NA,"849178643372752897",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Rang_Hoki",11,TRUE,FALSE,NA,NA
"RT @GunRomli: FUI: NKRI Bersyariah Harga Mati, ini Sekjennya Al-Khaththath alias Gatot Pendukung Anies, mulai dr Jakarta Bersyariah https:/…",FALSE,0,NA,2017-04-04 08:33:27,FALSE,NA,"849178087610777600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mu7ee",75,TRUE,FALSE,NA,NA
"Pengamat Politik Arbi Sanit Minta Anies Buktikan ‘Jakarta Bersyariah’ Bukan Miliknya https://t.co/fxsbCy0tvy",FALSE,0,NA,2017-04-04 08:33:09,FALSE,NA,"849178009558851584",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","triknewsdotcom",0,FALSE,FALSE,NA,NA
"Pengamat Politik Arbi Sanit Minta Anies Buktikan ‘Jakarta Bersyariah’ Bukan Miliknya https://t.co/HnVgtkQZFr",FALSE,0,NA,2017-04-04 08:33:07,FALSE,NA,"849178002818646016",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","_ayumahesa",0,FALSE,FALSE,NA,NA
"RT @datuakrajoangek: Eh tapi ada pertanyaan nih. Adakah pernyataan yg tegas dari mereka bahwa jakarta bersyariah itu fitnah?Bahwa mereka ti…",FALSE,0,NA,2017-04-04 08:32:38,FALSE,NA,"849177879929692161",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MariaRosetta01",12,TRUE,FALSE,NA,NA
"RT @saputrasurya922: #AniesTakutDebat nih skrg ngeles tak tau spanduk Jakarta Bersyariah. Biarkn GAmbar Bicara @lagaligoBone @GunRomli @Her…",FALSE,0,NA,2017-04-04 08:32:08,FALSE,NA,"849177757288235008",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Satrio1969",58,TRUE,FALSE,NA,NA
"RT @saputrasurya922: #AniesTakutDebat nih skrg ngeles tak tau spanduk Jakarta Bersyariah. Biarkn GAmbar Bicara @lagaligoBone @GunRomli @Her…",FALSE,0,NA,2017-04-04 08:30:43,FALSE,NA,"849177400348889088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VERLITA__MAE_",58,TRUE,FALSE,NA,NA
"RT @kangmeirza: Soal Spanduk ""Jakarta Bersyariah"", Anies Sebut Fitnahnya Sistematis. Kok beda sama pendukungnya @aniesbaswedan dilapangan y…",FALSE,0,NA,2017-04-04 08:30:18,FALSE,NA,"849177292072931328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Risma_hans",39,TRUE,FALSE,NA,NA
"RT @zuhairimisrawi: Anies harus berani menegaskan kepada publik: apakah ia ingin menegakkah Jakarta Bersyariah atau Jakarta Berpancasila?",FALSE,0,NA,2017-04-04 08:27:32,FALSE,NA,"849176597181509635",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nkritotal",66,TRUE,FALSE,NA,NA
"KUBU AHOK TOLAK JAKARTA BERSYARIAH, INI ALASANNYA

Zuhairi melanjutkan, jika ada pihak yang akan menjadikan... https://t.co/94hyPuxGzO",FALSE,0,NA,2017-04-04 08:20:24,FALSE,NA,"849174801805582336",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","dahlandahi",0,FALSE,FALSE,NA,NA
"Kubu Ahok-Djarot Minta Anies-Sandi Tegas Tolak Jakarta Bersyariah https://t.co/QNQcNKTv9R via @wartakotalive",FALSE,0,NA,2017-04-04 08:17:54,FALSE,NA,"849174174463479808",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","wartakotalive",0,FALSE,FALSE,NA,NA
"RT @ulinyusron: Mainan kok Jakarta bersyariah. Anies Sandi masih main ayat, mayat, jinayat, kualat, sekarat, lama-lama kiamat. Program nyon…",FALSE,0,NA,2017-04-04 08:17:35,FALSE,NA,"849174094725513216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ricosiswandi",165,TRUE,FALSE,NA,NA
"Berita #Jakarta: Kubu Ahok-Djarot Minta Anies-Sandi Tegas Tolak Jakarta Bersyariah https://t.co/dde1YvMDSI",FALSE,0,NA,2017-04-04 08:17:11,FALSE,NA,"849173993680760832",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","UKMPulogadung",0,FALSE,FALSE,NA,NA
