"","score","text"
"1",-1,"@aniesbaswedan @JktMajuBersama @Gerindra @PKSejahtera @PartaiPerindo @sandiuno @Official_PAN Bukan cuman Ngeles, BO… https://t.co/inJrHTEVin"
"2",1,"Majelis Pelayan Jakarta (MPJ) merekomendasi Sandiaga sbg Cagub Muslim yang harus dimenangkan. Jakarta Bersyariah su… https://t.co/GW6jz9Dgw1"
"3",1,"RT @zuhairimisrawi: Anies harus berani menegaskan kepada publik: apakah ia ingin menegakkah Jakarta Bersyariah atau Jakarta Berpancasila?"
"4",-1,"RT @kangmeirza: Soal Spanduk ""Jakarta Bersyariah"", Anies Sebut Fitnahnya Sistematis. Kok beda sama pendukungnya @aniesbaswedan dilapangan y…"
"5",-1,"RT @kangdede78: Arbi Sanit: Tim Anies-Sandi Harus Buktikan Bukan Pemasang Spanduk Jakarta Bersyariah #FreeAhok  https://t.co/bilKbmA0cN"
"6",0,"RT @GunRomli: FUI: NKRI Bersyariah Harga Mati, ini Sekjennya Al-Khaththath alias Gatot Pendukung Anies, mulai dr Jakarta Bersyariah https:/…"
"7",-1,"Pengamat Politik Arbi Sanit Minta Anies Buktikan ‘Jakarta Bersyariah’ Bukan Miliknya https://t.co/fxsbCy0tvy"
"8",-1,"Pengamat Politik Arbi Sanit Minta Anies Buktikan ‘Jakarta Bersyariah’ Bukan Miliknya https://t.co/HnVgtkQZFr"
"9",0,"RT @datuakrajoangek: Eh tapi ada pertanyaan nih. Adakah pernyataan yg tegas dari mereka bahwa jakarta bersyariah itu fitnah?Bahwa mereka ti…"
"10",0,"RT @saputrasurya922: #AniesTakutDebat nih skrg ngeles tak tau spanduk Jakarta Bersyariah. Biarkn GAmbar Bicara @lagaligoBone @GunRomli @Her…"
"11",0,"RT @saputrasurya922: #AniesTakutDebat nih skrg ngeles tak tau spanduk Jakarta Bersyariah. Biarkn GAmbar Bicara @lagaligoBone @GunRomli @Her…"
"12",-1,"RT @kangmeirza: Soal Spanduk ""Jakarta Bersyariah"", Anies Sebut Fitnahnya Sistematis. Kok beda sama pendukungnya @aniesbaswedan dilapangan y…"
"13",1,"RT @zuhairimisrawi: Anies harus berani menegaskan kepada publik: apakah ia ingin menegakkah Jakarta Bersyariah atau Jakarta Berpancasila?"
"14",-1,"KUBU AHOK TOLAK JAKARTA BERSYARIAH, INI ALASANNYA

Zuhairi melanjutkan, jika ada pihak yang akan menjadikan... https://t.co/94hyPuxGzO"
"15",0,"Kubu Ahok-Djarot Minta Anies-Sandi Tegas Tolak Jakarta Bersyariah https://t.co/QNQcNKTv9R via @wartakotalive"
"16",-3,"RT @ulinyusron: Mainan kok Jakarta bersyariah. Anies Sandi masih main ayat, mayat, jinayat, kualat, sekarat, lama-lama kiamat. Program nyon…"
"17",-1,"Berita #Jakarta: Kubu Ahok-Djarot Minta Anies-Sandi Tegas Tolak Jakarta Bersyariah https://t.co/dde1YvMDSI"
"18",0,"Jakarta bersyariah.. Endonesa ber-pancasila. https://t.co/fXXSUt23Td"
"19",1,"RT @zuhairimisrawi: Anies harus berani menegaskan kepada publik: apakah ia ingin menegakkah Jakarta Bersyariah atau Jakarta Berpancasila?"
"20",2,"RT @GunRomli: Jadi Anies gak usa bersandiwara soal spanduk2 Jakarta Bersyariah, tanya dulu pendukungnya, sbgmana spanduk2 SARA oleh penduku…"
"21",0,"RT @kangSantryyy: Bikin para pejabat di jakarta bersih dari korupsi aja susahnya bukan main, kok ini mau bikin jakarta bersyariah? Ehhh.."
"22",3,"RT @GunRomli: Anies tak perlu bersandiwara dgn bilang tdk tahu soal spanduk2 Jakarta Bersyariah, sebaiknya tanya dulu ke pendukungnya https…"
"23",0,"Apa maksud pak @aniesbaswedan buat Jakarta Bersyariah? mau dibwa kmna nnti jKrta ini.bkn menyatukan,tp memecah bela… https://t.co/6OHxlbhehY"
"24",0,"Kubu Ahok-Djarot Minta Anies-Sandi Tegas Tolak Jakarta Bersyariah https://t.co/g2UQUykjZw"
"25",-1,"RT @SuaraAnies: Anies-Sandi Pastikan Kontrak Jakarta Bersyariah adalah Fitnah https://t.co/ZRHFHQ8BR8"
"26",-2,"#Aksi112 Penyebar Fitnah Spanduk Jakarta Bersyariah Dapat Dikenakan Sanksi Pidana https://t.co/UoYVpPps2Y… https://t.co/RT2PTj0Qkh"
"27",-3,"Penyebar Fitnah Spanduk Jakarta Bersyariah Dapat Dikenakan Sanksi Pidana https://t.co/y7KocOmglw https://t.co/niHnFUR4eR"
"28",-2,"#Aksi112 Penyebar Fitnah Spanduk Jakarta Bersyariah Dapat Dikenakan Sanksi Pidana https://t.co/VgnorGMnoU… https://t.co/rz8HncaivU"
"29",-2,"#Aksi112 Penyebar Fitnah Spanduk Jakarta Bersyariah Dapat Dikenakan Sanksi Pidana https://t.co/vKyw9dcuAs… https://t.co/AhOo0x7q1Y"
"30",-3,"Penyebar Fitnah Spanduk Jakarta Bersyariah Dapat Dikenakan Sanksi Pidana https://t.co/PuhkTLhGmK"
"31",-3,"Penyebar Fitnah Spanduk Jakarta Bersyariah Dapat Dikenakan Sanksi Pidana https://t.co/eSUzrkdaS2"
