KD_KASUS    OUTLOOK                                                                                                                                                                                                                                                             TEMPERATURE                                                                                                                                                                                                                                                         HUMIDITY                                                                                                                                                                                                                                                            WINDY                                                                                                                                                                                                                                                               PLAY                                                                                                                                                                                                                                                                
========    ================================================================================================================================================================================================================================================================    ================================================================================================================================================================================================================================================================    ================================================================================================================================================================================================================================================================    ================================================================================================================================================================================================================================================================    ================================================================================================================================================================================================================================================================    
<null>      Sunny                                                                                                                                                                                                                                                               Hot                                                                                                                                                                                                                                                                 High                                                                                                                                                                                                                                                                False                                                                                                                                                                                                                                                               No                                                                                                                                                                                                                                                                  
<null>      Sunny                                                                                                                                                                                                                                                               Hot                                                                                                                                                                                                                                                                 High                                                                                                                                                                                                                                                                True                                                                                                                                                                                                                                                                No                                                                                                                                                                                                                                                                  
<null>      Cloudy                                                                                                                                                                                                                                                              Hot                                                                                                                                                                                                                                                                 High                                                                                                                                                                                                                                                                False                                                                                                                                                                                                                                                               Yes                                                                                                                                                                                                                                                                 
<null>      Rainy                                                                                                                                                                                                                                                               Mild                                                                                                                                                                                                                                                                High                                                                                                                                                                                                                                                                False                                                                                                                                                                                                                                                               Yes                                                                                                                                                                                                                                                                 
<null>      Rainy                                                                                                                                                                                                                                                               Cool                                                                                                                                                                                                                                                                Normal                                                                                                                                                                                                                                                              False                                                                                                                                                                                                                                                               Yes                                                                                                                                                                                                                                                                 
<null>      Rainy                                                                                                                                                                                                                                                               Cool                                                                                                                                                                                                                                                                Normal                                                                                                                                                                                                                                                              True                                                                                                                                                                                                                                                                Yes                                                                                                                                                                                                                                                                 
<null>      Cloudy                                                                                                                                                                                                                                                              Cool                                                                                                                                                                                                                                                                Normal                                                                                                                                                                                                                                                              True                                                                                                                                                                                                                                                                Yes                                                                                                                                                                                                                                                                 
<null>      Sunny                                                                                                                                                                                                                                                               Mild                                                                                                                                                                                                                                                                High                                                                                                                                                                                                                                                                False                                                                                                                                                                                                                                                               No                                                                                                                                                                                                                                                                  
<null>      Sunny                                                                                                                                                                                                                                                               Cool                                                                                                                                                                                                                                                                Normal                                                                                                                                                                                                                                                              False                                                                                                                                                                                                                                                               Yes                                                                                                                                                                                                                                                                 
<null>      Rainy                                                                                                                                                                                                                                                               Mild                                                                                                                                                                                                                                                                Normal                                                                                                                                                                                                                                                              False                                                                                                                                                                                                                                                               Yes                                                                                                                                                                                                                                                                 
<null>      Sunny                                                                                                                                                                                                                                                               Mild                                                                                                                                                                                                                                                                Normal                                                                                                                                                                                                                                                              True                                                                                                                                                                                                                                                                Yes                                                                                                                                                                                                                                                                 
<null>      Cloudy                                                                                                                                                                                                                                                              Mild                                                                                                                                                                                                                                                                High                                                                                                                                                                                                                                                                True                                                                                                                                                                                                                                                                Yes                                                                                                                                                                                                                                                                 
<null>      Cloudy                                                                                                                                                                                                                                                              Hot                                                                                                                                                                                                                                                                 Normal                                                                                                                                                                                                                                                              False                                                                                                                                                                                                                                                               Yes                                                                                                                                                                                                                                                                 
<null>      Rainy                                                                                                                                                                                                                                                               Mild                                                                                                                                                                                                                                                                High                                                                                                                                                                                                                                                                True                                                                                                                                                                                                                                                                No                                                                                                                                                                                                                                                                  
